id,time
31072240,0:7
31192189,0:7
31657499,0:28
31842275,0:26
31872889,0:7
32145352,1:55
32427967,0:17
32647391,2:53
32936849,1:8
33630829,0:15
33673405,1:32
34031152,8:6
34086390,0:16
34146392,5:31
34337679,0:8
34688765,0:5
34814419,1:42
35193638,6:22
35609911,3:20
35677969,1:36
35872256,3:59
35875835,0:9
36137376,0:6
36437438,0:18
36752850,0:6
36933519,0:4
36950049,1:51
36953612,2:59
37444142,0:14
37742770,1:42
38783156,2:21
39239624,0:6
39380742,1:51
39829098,1:40
40178080,0:23
40836919,12:55
40895677,3:55
40978316,0:12
42063553,0:23
42139302,0:13
42201335,5:37
42268950,2:0
42291816,3:43
42298817,1:47
42519814,6:18
722932,0:3
1421485,0:3
1576102,3:17
2012496,0:21
2038640,0:2
2441882,0:9
2627134,0:5
2703528,0:6
2733871,0:3
2939368,0:3
3399019,0:22
3515169,0:22
3600162,1:35
4019770,0:8
4782859,0:2
4975394,0:9
5010286,0:8
5127512,4:35
5213178,0:16
5420451,0:3
5444860,0:6
5537107,0:2
6358546,0:2
6868349,0:5
6973749,0:2
7114569,0:5
7352373,1:27
7462205,0:5
8071493,2:34
8083671,0:7
8169339,0:4
8171102,0:5
8483955,0:3
8878101,0:5
9038738,0:5
9232227,0:6
9272484,1:38
9349230,0:13
9689285,0:11
9764481,0:4
9769580,0:2
9850445,0:3
10293202,0:7
11403597,0:15
12034102,0:2
12131019,0:7
12960820,0:6
13333181,1:22
14079478,0:9
14305189,0:2
15022066,0:16
15117591,0:2
15629131,0:5
15794296,0:9
15800178,1:43
16095768,4:57
16234231,0:15
16289522,1:51
16382589,3:43
17154104,0:3
17217582,0:4
17359424,0:1
17447838,0:10
17644283,0:4
17771456,0:6
18263464,1:23
18267625,1:31
19042690,0:4
19117835,0:11
19498118,2:50
19630642,0:13
19676832,0:11
20117895,4:58
20179760,0:22
20389064,0:7
21584362,0:6
22269604,0:4
22280278,1:21
22289059,1:2
22729364,0:6
22769919,0:2
23490923,0:4
23696115,0:2
23794435,0:6
24158614,6:1
24966585,0:5
24985326,2:4
25245500,0:2
25564987,1:5
25620281,3:33
26588469,1:42
26594637,1:30
26693646,1:45
26940456,0:6
27209761,0:8
27576719,0:10
27671639,3:30
27767837,3:34
27995095,0:7
28494476,9:33
29418194,1:31
30023748,0:4
30137563,0:4
30428444,0:7
30734785,0:3
30833075,0:3
31257269,0:10
32142278,0:20
32327354,0:6
32632099,5:14
32677101,2:0
32998271,0:30
33643249,2:21
33697559,0:9
33807268,0:12
35721051,0:16
35894076,0:20
36114174,7:7
36373129,0:8
36836337,0:10
36950049,1:51
37275202,3:35
37308664,0:4
37697475,0:10
37871832,0:3
38888976,0:7
39537287,4:23
39973336,1:46
40073142,0:4
40615961,1:55
40629479,0:2
40819253,5:3
40963792,0:27
41300922,0:28
41660558,0:20
41674162,0:11
42139302,0:13
42194320,1:57
42677950,1:55
38642,0:2
1105476,0:8
1353795,1:34
2028425,1:38
2593076,0:16
6454753,0:4
6755108,0:15
6873973,0:7
10622784,0:8
11197068,2:28
12004210,0:21
12974739,6:40
14056631,1:32
14712484,6:16
16166741,0:14
16239733,9:51
16440286,0:21
16482965,0:8
19157556,1:16
21867126,0:11
24285275,2:7
25134435,2:36
25649947,0:0
26163209,0:9
26934634,2:40
27543962,7:10
30587714,1:23
30689964,1:42
30738785,0:4
30964176,6:31
31748777,0:20
31848237,1:48
32858641,2:40
32883888,1:50
33307154,0:3
33367382,4:30
34172022,2:5
34903906,5:35
37784151,4:41
37862149,0:12
38546028,4:59
40706073,0:2
40845570,5:7
41896726,0:0
10872,11:34
657477,9:11
2126226,7:56
2432256,11:11
3467098,11:26
7020520,4:32
7498823,11:17
7864474,5:9
7964768,10:48
9323142,5:0
9969539,0:19
14700391,5:49
15583685,5:20
16076514,7:3
18371287,4:40
18633363,10:3
18757450,7:59
19445074,9:34
19555310,1:30
20116417,9:1
20541773,11:5
20963840,4:21
22212174,0:6
22217790,7:23
